Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date
NVDA,NVIDIA CORP,Information Technology,Equity,210739777.48,9.46072,210739777.48,939293,224.36,United States,NASDAQ,USD,1,--
AAPL,APPLE INC,Information Technology,Equity,177103234.73,7.95068,177103234.73,578183,306.31,United States,NASDAQ,USD,1,--
MSFT,MICROSOFT CORP,Information Technology,Equity,137073317.48,6.15362,137073317.48,297649,460.52,United States,NASDAQ,USD,1,--
AMZN,AMAZON.COM INC,Consumer Discretionary,Equity,100581703.62,4.51541,100581703.62,384987,261.26,United States,NASDAQ,USD,1,--
GOOGL,ALPHABET INC CLASS A,Communication,Equity,87802228.19,3.9417,87802228.19,233287,376.37,United States,NASDAQ,USD,1,--
AVGO,BROADCOM INC,Information Technology,Equity,85255439.5,3.82737,85255439.5,185350,459.97,United States,NASDAQ,USD,1,--
GOOG,ALPHABET INC CLASS C,Communication,Equity,70772688.74,3.17719,70772688.74,189953,372.58,United States,NASDAQ,USD,1,--
META,META PLATFORMS INC CLASS A,Communication,Equity,52617384.69,2.36215,52617384.69,87627,600.47,United States,NASDAQ,USD,1,--
TSLA,TESLA INC,Consumer Discretionary,Equity,47094667.08,2.11422,47094667.08,113241,415.88,United States,NASDAQ,USD,1,--
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,46433891,2.08455,46433891,44842,1035.5,United States,NASDAQ,USD,1,--
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,34811806.38,1.5628,34811806.38,74022,470.29,United States,NYSE,USD,1,--
LLY,ELI LILLY,Health Care,Equity,34795976.6,1.56209,34795976.6,32153,1082.2,United States,NYSE,USD,1,--
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,32970722.16,1.48015,32970722.16,64632,510.13,United States,NASDAQ,USD,1,--
JPM,JPMORGAN CHASE &amp; CO,Financials,Equity,32334931.08,1.45161,32334931.08,109026,296.58,United States,NYSE,USD,1,--
XOM,EXXON MOBIL CORP,Energy,Equity,25328275.28,1.13706,25328275.28,169556,149.38,United States,NYSE,USD,1,--
V,VISA INC CLASS A,Financials,Equity,21806018.43,0.97894,21806018.43,67559,322.77,United States,NYSE,USD,1,--
JNJ,JOHNSON &amp; JOHNSON,Health Care,Equity,21586595.8,0.96909,21586595.8,96580,223.51,United States,NYSE,USD,1,--
WMT,WALMART INC,Consumer Staples,Equity,20010076.8,0.89831,20010076.8,174608,114.6,United States,NASDAQ,USD,1,--
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,19389261.98,0.87044,19389261.98,159806,121.33,United States,NASDAQ,USD,1,--
INTC,INTEL CORPORATION,Information Technology,Equity,19345068.86,0.86846,19345068.86,176942,109.33,United States,NASDAQ,USD,1,--
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,16856841.87,0.75675,16856841.87,17817,946.11,United States,NASDAQ,USD,1,--
ORCL,ORACLE CORP,Information Technology,Equity,16746899.05,0.75182,16746899.05,67487,248.15,United States,NYSE,USD,1,--
CAT,CATERPILLAR INC,Industrials,Equity,16085311.68,0.72212,16085311.68,18588,865.36,United States,NYSE,USD,1,--
MA,MASTERCARD INC CLASS A,Financials,Equity,15992117.75,0.71793,15992117.75,32291,495.25,United States,NYSE,USD,1,--
LRCX,LAM RESEARCH CORP,Information Technology,Equity,15989824.64,0.71783,15989824.64,50422,317.12,United States,NASDAQ,USD,1,--
ABBV,ABBVIE INC,Health Care,Equity,15145285.04,0.67992,15145285.04,71128,212.93,United States,NYSE,USD,1,--
